MID,dessert,latenight,lunch,dinner,brunch,breakfast
399,1,1,2,2,1,0
363,1,1,1,1,1,0
642,2,1,2,2,1,0
395,1,1,2,1,2,2
638,2,1,2,1,2,2
645,2,1,2,2,2,0
372,1,1,1,2,1,0
480,1,2,2,2,1,0
633,2,1,2,1,1,0
608,2,1,1,1,1,2
453,1,2,1,2,1,0
473,1,2,2,1,1,2
390,1,1,2,1,1,0
444,1,2,1,1,1,0
402,1,1,2,2,2,0
366,1,1,1,1,2,0
365,1,1,1,1,1,2
392,1,1,2,1,1,2
368,1,1,1,1,2,2
728,2,2,2,2,2,2
401,1,1,2,2,1,2
471,1,2,2,1,1,0
606,2,1,1,1,1,0
393,1,1,2,1,2,0
482,1,2,2,2,1,2
647,2,1,2,2,2,2
714,2,2,2,1,1,0
615,2,1,1,2,1,0
687,2,2,1,1,1,0
723,2,2,2,2,1,0
609,2,1,1,1,2,0
636,2,1,2,1,2,0
404,1,1,2,2,2,2
696,2,2,1,2,1,0
374,1,1,1,2,1,2
449,1,2,1,1,2,2
375,1,1,1,2,2,0
397,1,1,2,2,0,1
726,2,2,2,2,2,0
485,1,2,2,2,2,2
689,2,2,1,1,1,2
446,1,2,1,1,1,2
483,1,2,2,2,2,0
644,2,1,2,2,1,2
474,1,2,2,1,2,0
635,2,1,2,1,1,2
618,2,1,1,2,2,0
611,2,1,1,1,2,2
455,1,2,1,2,1,2
361,1,1,1,1,0,1
476,1,2,2,1,2,2
716,2,2,2,1,1,2
617,2,1,1,2,1,2
388,1,1,2,1,0,1
698,2,2,1,2,1,2
692,2,2,1,1,2,2
719,2,2,2,1,2,2
725,2,2,2,2,1,2
717,2,2,2,1,2,0
456,1,2,1,2,2,0
442,1,2,1,1,0,1
451,1,2,1,2,0,1
377,1,1,1,2,2,2
604,2,1,1,1,0,1
370,1,1,1,2,0,1
690,2,2,1,1,2,0
447,1,2,1,1,2,0
458,1,2,1,2,2,2
394,1,1,2,1,2,1
620,2,1,1,2,2,2
479,1,2,2,2,0,2
367,1,1,1,1,2,1
0,0,0,0,0,0,0
362,1,1,1,1,0,2
