business_id,AID
QXAEGFB4oINsVuTFxEYKFQ,9842
YK8aOugv9mLrzBgJKP9biA,9759
8Wm2NMAoukBC2wQR49E4ng,9842
8HAsNLoSr3xi5rwQretp3w,9840
b01JHXXVU9XuUuFMGWDMJw,9840
JGM-SxW_vayu0fBch-U2FQ,9840
GWCd4xlTdOwcaaSSu9b9XQ,9842
omfSvRsQVhJkU_yB8udhIw,9759
N0Tk9ORpX-gtbPNR0WoznQ,9840
rsiW1dz9FD1EfNPoDfaDDQ,9842
LHOa9n7JQCGgnMoA1NDbbw,9840
uD1dQcPeYIkAPqjzQ79MrQ,9840
5O7qB4gNmr3NgdYAuYbP4Q,9842
kVXyz0mYd7NaGuGdM_VMeQ,9842
BDCSaCKVEuQNtfgayiqbUg,9840
SH1c1aFJl0uHVnVPEF-fTA,9842
PVk7KKTlWRygSF6dExWYCg,10094
wFGsC5Bgi6_Tbr4gvORCYw,9842
8jOJmMw6Vfn8ug1nZstH3A,9840
LH-_iinkV1XOxSuJMBqhmw,9842
PsatZ8lzKEXOc_hImnYNNA,9840
foezb6XCQ2_bWLd2M5LICA,9842
rjlAUHT8B6KhKAmkZqS1xw,19328
3zq4mRDOhZ9Ku1vRQdFsxQ,9840
fqMAnoS2sTokz6lqBSmoCw,9842
86Cq7KrcFUo1LGtNORfo1w,11946
emyCP3Ry2SbpNrwRAtm9PQ,9842
vtkJXE_Vdz27rWm6mfAw6Q,9842
4RFiHQ5-p3mR5RHFQh0PfA,9842
h36qA5gnNTgByhxWx1aH-Q,9842
0Ovh4Vn9ntMt5Ara-ZP2sA,9516
8U9nnnInBAvQLaX5LHrJ0g,9840
BdYEbF9z2IqaJ7R5bduxJw,9759
RnyuG8Ngt1rr3mFD3oYicw,9761
GD99qIgZ-QeIY4thevw9Iw,9761
wtDLILBaj5BGEbYvWGfNUw,9842
49JTxfrT4BnROuk9_RIW6w,9840
-20PsGUoi0cK3hKwtFoh2w,9840
y1AM7MeCN3HaS7SHnxcBfQ,16401
1RJqFVKWm_xMqQ4WcURFSA,9759
liGn7sPOvUuy3kcwbhRkbA,9840
TKcq0hOqesiDOwQb-ZwFAw,9842
JsDZw4xmCHxYYKoVKH8aUw,10083
IPEf6HTV5vikiDLjn6wa-Q,9840
v0oHkLaA7cI9os6VZu6NZQ,9840
A7gVn077Eb2B-yIKunLVpw,9842
x-yv0YJrE-BxFAHADsnPyQ,9759
Oxz7xIKw2iJhxU-V_jpX7A,9761
Qi2vOSs7AIeen_zrWt6WDA,9840
