business_id,noiseLevel
QXAEGFB4oINsVuTFxEYKFQ,2
YK8aOugv9mLrzBgJKP9biA,1
8Wm2NMAoukBC2wQR49E4ng,1
8HAsNLoSr3xi5rwQretp3w,0
JGM-SxW_vayu0fBch-U2FQ,0
GWCd4xlTdOwcaaSSu9b9XQ,1
omfSvRsQVhJkU_yB8udhIw,2
N0Tk9ORpX-gtbPNR0WoznQ,1
U7by1vfecuy6qF8-F4F-MQ,1
rsiW1dz9FD1EfNPoDfaDDQ,1
LHOa9n7JQCGgnMoA1NDbbw,0
uD1dQcPeYIkAPqjzQ79MrQ,2
5O7qB4gNmr3NgdYAuYbP4Q,0
kVXyz0mYd7NaGuGdM_VMeQ,0
BDCSaCKVEuQNtfgayiqbUg,0
SH1c1aFJl0uHVnVPEF-fTA,2
PVk7KKTlWRygSF6dExWYCg,1
wFGsC5Bgi6_Tbr4gvORCYw,2
8jOJmMw6Vfn8ug1nZstH3A,2
LH-_iinkV1XOxSuJMBqhmw,1
PsatZ8lzKEXOc_hImnYNNA,0
foezb6XCQ2_bWLd2M5LICA,1
rjlAUHT8B6KhKAmkZqS1xw,1
fqMAnoS2sTokz6lqBSmoCw,1
86Cq7KrcFUo1LGtNORfo1w,1
emyCP3Ry2SbpNrwRAtm9PQ,2
EJMrzeE8fraZGiNvdPzsnQ,0
vtkJXE_Vdz27rWm6mfAw6Q,1
4RFiHQ5-p3mR5RHFQh0PfA,1
h36qA5gnNTgByhxWx1aH-Q,1
0Ovh4Vn9ntMt5Ara-ZP2sA,1
8U9nnnInBAvQLaX5LHrJ0g,0
BdYEbF9z2IqaJ7R5bduxJw,2
RnyuG8Ngt1rr3mFD3oYicw,1
wtDLILBaj5BGEbYvWGfNUw,1
-20PsGUoi0cK3hKwtFoh2w,2
y1AM7MeCN3HaS7SHnxcBfQ,1
liGn7sPOvUuy3kcwbhRkbA,1
TKcq0hOqesiDOwQb-ZwFAw,1
A7gVn077Eb2B-yIKunLVpw,1
x-yv0YJrE-BxFAHADsnPyQ,1
Oxz7xIKw2iJhxU-V_jpX7A,2
Qi2vOSs7AIeen_zrWt6WDA,0
Vwv0Db2gvyvQsM_1FkSDPA,2
S9Pe1o4-hw01i1G37g1JMg,1
HNQzWfhR8kIgTsoxLKCcSw,1
SbvcKjiRv1_nWN2XHcgSfQ,1
IRpZS7EmmBeSM7oBnDd5iw,1
vgkAu9BO8h7oorDWZziMXA,0
YH8Bn-7pLR-SFR8MCgQj1w,1
lGTZWahMoXRpGoftnt-T0w,0
BDgEBbNWm6rKLb6JArc3xw,1
b0cz_E52RTaP6ouIK6fEJQ,1
odfX0wO7fOyqa8oobxh96w,0
dOw-hqHkPOndWa0ncIbOEw,3
qeQDbldV5n-wUu9zflp01w,1
ZhO6_8Vc-zfRxvDDvDBynA,0
HPjOwB5dgIMdL3DOk6abGw,1
GBKz_-486MN03tGu8LI7XA,3
VjCCYw6rCpe-MCPvJJ9YsQ,1
lTgPmuvLgfmfVWrpfXmBDw,0
OMhJbPB9LNAdQu1bwuiEIQ,1
YEPo1lqBfUHIHXaFOl51WA,2
OcNrTDq17-pqNCylCeTGIA,0
mIoTQ6CyAL7FCpYYmCDuzQ,0
UIDhcNNFxnQBwFlnCXql6g,1
irGqiEfO-m7GBvhFPiWvTA,3
6M5WG1Hp38dsYkK77S-bzQ,1
JkT6AqaYPsc3z2SXePxP5A,1
t_ayKppVhxr7oDuz66oJ3g,1
0aSvr56wz4gRAA5TtV7_Tw,3
0mS42KOASlBugoM-SAc7gQ,1
VzSUgIOcyO7JmTwYDnyivQ,1
EVZumrOiqpMhvrscukkzBQ,1
OT5Zx-54Y_sPoMOWEDidsw,0
Qf7x_9ATlcm-thjdxOWJ4A,1
wdOOK3K6vzQy1d_OIk-U9w,1
cerqIWfTvQHn05CugpXfbg,0
qjTPOOiUMZEhOBshHAXpQg,2
JePdoHGJ2kWRQkfGx0T34Q,1
WS9BUR9E1I6JIIP_OTDkLg,1
xv9e-_gJ4F1TXrycEPpMuw,3
gwfyZskTICc0yEg_Vz0xiw,1
bwFxrxHrz9I36awGc-yjjw,1
DLuVRaVxkzCnviTlB-v8SQ,1
HbZxMems5cEO8J1fBsw-sg,1
hJjqmZUfbWRgYqFc3QWYIg,1
