business_id,MID
QXAEGFB4oINsVuTFxEYKFQ,399
8Wm2NMAoukBC2wQR49E4ng,399
8HAsNLoSr3xi5rwQretp3w,363
GWCd4xlTdOwcaaSSu9b9XQ,399
omfSvRsQVhJkU_yB8udhIw,363
uD1dQcPeYIkAPqjzQ79MrQ,363
5O7qB4gNmr3NgdYAuYbP4Q,642
kVXyz0mYd7NaGuGdM_VMeQ,395
BDCSaCKVEuQNtfgayiqbUg,363
PVk7KKTlWRygSF6dExWYCg,638
8jOJmMw6Vfn8ug1nZstH3A,363
LH-_iinkV1XOxSuJMBqhmw,399
foezb6XCQ2_bWLd2M5LICA,399
rjlAUHT8B6KhKAmkZqS1xw,645
fqMAnoS2sTokz6lqBSmoCw,399
86Cq7KrcFUo1LGtNORfo1w,372
emyCP3Ry2SbpNrwRAtm9PQ,480
4RFiHQ5-p3mR5RHFQh0PfA,399
8U9nnnInBAvQLaX5LHrJ0g,399
RnyuG8Ngt1rr3mFD3oYicw,633
wtDLILBaj5BGEbYvWGfNUw,608
1RJqFVKWm_xMqQ4WcURFSA,363
TKcq0hOqesiDOwQb-ZwFAw,453
JsDZw4xmCHxYYKoVKH8aUw,638
IPEf6HTV5vikiDLjn6wa-Q,363
v0oHkLaA7cI9os6VZu6NZQ,363
A7gVn077Eb2B-yIKunLVpw,473
x-yv0YJrE-BxFAHADsnPyQ,372
Oxz7xIKw2iJhxU-V_jpX7A,363
S9Pe1o4-hw01i1G37g1JMg,363
HNQzWfhR8kIgTsoxLKCcSw,372
SbvcKjiRv1_nWN2XHcgSfQ,399
IRpZS7EmmBeSM7oBnDd5iw,390
BDgEBbNWm6rKLb6JArc3xw,395
b0cz_E52RTaP6ouIK6fEJQ,372
ZhO6_8Vc-zfRxvDDvDBynA,395
GBKz_-486MN03tGu8LI7XA,399
OMhJbPB9LNAdQu1bwuiEIQ,395
OcNrTDq17-pqNCylCeTGIA,363
UIDhcNNFxnQBwFlnCXql6g,390
6M5WG1Hp38dsYkK77S-bzQ,399
0aSvr56wz4gRAA5TtV7_Tw,444
UNf4aybYOTs4EnPQgZJOVw,363
0mS42KOASlBugoM-SAc7gQ,399
VzSUgIOcyO7JmTwYDnyivQ,399
OT5Zx-54Y_sPoMOWEDidsw,363
wdOOK3K6vzQy1d_OIk-U9w,480
cerqIWfTvQHn05CugpXfbg,390
qjTPOOiUMZEhOBshHAXpQg,390
