PID,garage,street,validated,lot,valet
123,1,1,1,2,0
147,1,2,1,1,0
120,1,1,1,1,0
150,1,2,1,2,0
201,2,1,1,1,0
228,2,2,1,1,0
230,2,2,1,1,2
112,1,1,0,1,1
125,1,1,1,2,2
122,1,1,1,1,2
0,0,0,0,0,0
231,2,2,1,2,0
237,2,2,2,1,0
115,1,1,0,2,1
242,2,2,2,2,2
203,2,1,1,1,2
204,2,1,1,2,0
206,2,1,1,2,2
129,1,1,2,1,0
149,1,2,1,1,2
152,1,2,1,2,2
159,1,2,2,2,0
193,2,1,0,1,1
240,2,2,2,2,0
210,2,1,2,1,0
156,1,2,2,1,0
158,1,2,2,1,2
139,1,2,0,1,1
132,1,1,2,2,0
212,2,1,2,1,2
161,1,2,2,2,2
233,2,2,1,2,2
239,2,2,2,1,2
131,1,1,2,1,2
194,2,1,0,1,2
134,1,1,2,2,2
111,1,1,0,1,0
213,2,1,2,2,0
215,2,1,2,2,2
114,1,1,0,2,0
138,1,2,0,1,0
